Time,Close,High,Low,Open,EMA,Signal
1719169200,10258408.25,10265005.0,10252971.320300357,10252971.320300357,10280461.053610252,-1
1719172800,10231414.5,10262102.0,10195000.0,10255689.785150178,10277572.384841222,-1
1719176400,10204003.5,10243552.142575089,10172003.0,10243552.142575089,10275192.134455293,-1
1719180000,10196052.5,10223777.821287544,10170549.0,10223777.821287544,10271455.540947244,-1
1719183600,10153988.75,10209915.160643771,10119800.0,10209915.160643771,10265782.147184607,-1
1719187200,10114123.75,10181951.955321886,10080000.0,10181951.955321886,10259456.690432271,-1
1719190800,10113124.5,10148037.852660943,10073808.0,10148037.852660943,10254544.977081988,-1
1719194400,10095750.5,10144598.0,10043156.0,10130581.176330471,10246956.546608185,-1
1719198000,10062452.5,10113165.838165235,10043104.0,10113165.838165235,10239560.250662766,-1
1719201600,10050047.75,10087809.169082617,10020951.0,10087809.169082617,10232329.417303443,-1
1719205200,10011881.5,10068928.45954131,9963157.0,10068928.45954131,10221978.851918994,-1
1719208800,9964427.5,10040404.979770655,9940655.0,10040404.979770655,10212194.700863346,-1
1719212400,9974451.75,10002416.239885326,9941003.0,10002416.239885326,10203240.516515763,-1
1719216000,10013827.0,10075523.0,9968981.0,9988433.994942663,10196326.809985735,-1
1719219600,9900044.75,10051395.0,9705001.0,10001130.497471333,10181445.052731391,-1
1719223200,9787603.25,9950587.623735666,9734307.0,9950587.623735666,10165207.442820357,-1
1719226800,9762044.0,9869095.436867833,9707182.0,9869095.436867833,10150173.503886227,-1
1719230400,9780613.0,9819370.0,9753014.0,9815569.718433917,10135195.170400493,-1
1719234000,9787542.75,9835805.0,9720002.0,9798091.359216958,10123075.28136518,-1
1719237600,9808578.5,9843570.0,9763796.0,9792817.05460848,10110437.427193997,-1
1719241200,9759328.5,9809231.0,9701000.0,9800697.77730424,10095372.155539332,-1
1719244800,9678361.25,9780013.13865212,9601466.0,9780013.13865212,10077170.816106416,-1
1719248400,9629492.75,9729187.19432606,9575500.0,9729187.19432606,10059683.058612047,-1
1719252000,9622571.25,9679339.972163029,9549000.0,9679339.972163029,10043423.095529221,-1
1719255600,9553698.25,9650955.611081515,9438735.0,9650955.611081515,10021383.091782978,-1
1719259200,9469088.75,9602326.930540757,9351398.0,9602326.930540757,10001328.81367384,-1
1719262800,9558150.75,9615076.0,9492452.0,9535707.840270378,9986181.644510161,-1
1719266400,9609348.0,9634991.0,9546929.295135189,9546929.295135189,9970833.305509763,-1
1719270000,9622105.75,9664500.0,9578138.647567594,9578138.647567594,9958043.99941134,-1
1719273600,9652150.5,9686953.0,9600122.198783796,9600122.198783796,9945798.156297171,-1
1719277200,9645460.25,9657229.0,9625712.0,9626136.349391898,9934320.777618852,-1
1719280800,9670233.75,9692727.0,9635798.29969595,9635798.29969595,9924774.237320073,-1
1719284400,9750541.0,9839792.0,9653016.024847975,9653016.024847975,9919623.914287914,-1
1719288000,9794857.5,9811091.0,9701778.512423988,9701778.512423988,9915082.701962898,-1
1719291600,9776215.5,9814380.0,9734673.0,9748318.006211994,9908686.752866313,-1
1719295200,9756196.75,9771108.0,9733946.0,9762266.753105998,9903159.703734301,-1
1719298800,9729886.75,9788329.0,9675087.0,9759231.751552999,9894737.12711727,-1
1719302400,9704095.25,9744559.2507765,9684450.0,9744559.2507765,9887794.063308751,-1
1719306000,9768109.25,9828108.0,9714635.0,9724327.25038825,9884821.943178996,-1
1719309600,9793310.25,9812005.0,9746218.250194125,9746218.250194125,9881033.749328839,-1
1719313200,9782927.75,9818659.0,9755095.0,9769764.250097062,9876669.053276727,-1
1719316800,9764844.25,9793241.0,9735385.0,9776346.000048531,9872133.678638423,-1
1719320400,9780213.0,9825305.0,9753332.0,9770595.125024267,9868567.57359378,-1
1719324000,9841648.75,9931485.0,9775404.062512133,9775404.062512133,9868898.217766574,1
1719327600,9869677.5,9906065.0,9808526.406256067,9808526.406256067,9869496.170011021,1
1719331200,9855117.75,9900000.0,9817022.0,9839101.953128032,9867527.810402747,-1
1719334800,9830828.0,9876096.0,9807913.0,9847109.851564016,9865663.974700678,-1
1719338400,9871034.75,9946753.0,9777778.0,9838968.925782008,9868563.740398692,1
1719342000,9939608.0,9939608.0,9855001.837891005,9855001.837891005,9871349.789794823,1
1719345600,9919111.0,9939608.0,9894637.0,9897304.918945502,9872574.935293065,1
1719349200,9900801.75,9917921.0,9882695.0,9908207.959472751,9873650.42802667,1
1719352800,9909144.25,9941537.0,9892540.0,9904504.854736377,9874781.783790331,1
1719356400,9886999.5,9907834.0,9851932.0,9906824.552368188,9875211.204033848,1
1719360000,9881055.75,9896912.026184093,9862466.0,9896912.026184093,9875514.137208993,1
1719363600,9911604.25,9948000.0,9879438.0,9888983.888092047,9877887.818102758,1
1719367200,9947715.5,9999773.0,9900294.069046024,9900294.069046024,9880024.687981082,1
1719370800,9925174.75,9941956.0,9903786.0,9924004.784523012,9881693.484530844,1
1719374400,9904534.5,9930194.0,9881077.0,9924589.767261505,9881795.230235517,1
1719378000,9877525.25,9914562.133630753,9860605.0,9914562.133630753,9881072.476108635,-1
1719381600,9858414.25,9896043.691815376,9836961.0,9896043.691815376,9880138.02606516,-1
1719385200,9870193.0,9899054.0,9837016.0,9877228.970907688,9880425.083866525,1
1719388800,9866179.25,9888888.0,9834557.0,9873710.985453844,9879381.511950191,-1
1719392400,9846748.25,9869945.117726922,9830200.0,9869945.117726922,9877813.021285478,-1
1719396000,9830919.5,9858346.683863461,9805988.0,9858346.683863461,9876101.05966644,-1
1719399600,9853172.25,9878809.0,9834158.0,9844633.09193173,9875687.841640307,-1
1719403200,9867368.75,9885602.0,9848902.670965865,9848902.670965865,9875392.514517158,-1
1719406800,9894542.25,9933333.0,9851225.0,9858135.710482933,9877355.71002629,1
1719410400,9929837.75,9959908.0,9876338.980241466,9876338.980241466,9879576.623358592,1
1719414000,9904672.5,9935972.0,9853900.0,9903088.365120733,9880174.755775902,1
1719417600,9879413.0,9909014.0,9850000.0,9903880.432560366,9879532.96143175,-1
1719421200,9842760.5,9891646.716280183,9792170.0,9891646.716280183,9878330.374708936,-1
1719424800,9825935.5,9867203.608140092,9800242.0,9867203.608140092,9875440.281583095,-1
1719428400,9814234.25,9846569.554070046,9780000.0,9846569.554070046,9873502.897991601,-1
1719432000,9819441.0,9845146.0,9781276.0,9830401.902035024,9871612.78434487,-1
1719435600,9829246.75,9838867.0,9815199.0,9824921.451017512,9870279.57711566,-1
1719439200,9814939.75,9837616.0,9779296.0,9827084.100508757,9867728.65252289,-1
1719442800,9795617.25,9821011.925254378,9778823.0,9821011.925254378,9864634.195561208,-1
1719446400,9796631.25,9818507.0,9766580.0,9808314.58762719,9862594.344754888,-1
1719450000,9815754.25,9831876.0,9796492.0,9802472.918813594,9861003.625352737,-1
1719453600,9809325.0,9822031.0,9780288.0,9809113.584406797,9859119.16945655,-1
1719457200,9814598.0,9842022.0,9798983.0,9809219.292203398,9856974.770654334,-1
1719460800,9811810.5,9824828.0,9801595.0,9811908.646101698,9855382.89729534,-1
1719464400,9795253.5,9824521.0,9770000.0,9811859.57305085,9852038.901322974,-1
1719468000,9761359.5,9803556.536525425,9739512.0,9803556.536525425,9848398.238525996,-1
1719471600,9766389.0,9784671.0,9750685.0,9782458.018262712,9845362.93505439,-1
1719475200,9773775.0,9783594.0,9760000.0,9774423.509131357,9842819.604267944,-1
1719478800,9810957.5,9850000.0,9771472.0,9774099.254565679,9842781.580571162,-1
