Time,Close,High,Low,Open
1719244800,9631238,9754468,9601466,9726273
1719248400,9631233,9680000,9575500,9631238
1719252000,9645054,9664998,9549000,9631233
1719255600,9481403,9649601,9438735,9645054
1719259200,9509999,9533555,9351398,9481403
1719262800,9615076,9615076,9492452,9509999
1719266400,9594799,9634991,9592526,9615076
1719270000,9644706,9664500,9584418,9594799
1719273600,9645775,9686953,9631168,9644706
1719277200,9653125,9657229,9625712,9645775
1719280800,9690884,9692727,9644199,9653125
1719284400,9793441,9839792,9678047,9690884
1719288000,9803823,9811091,9771075,9793441
1719291600,9751986,9814380,9734673,9803823
1719295200,9767747,9771108,9733946,9751986
1719298800,9688384,9788329,9675087,9767747
1719302400,9717689,9725858,9684450,9688384
1719306000,9812005,9828108,9714635,9717689
1719309600,9788223,9812005,9761008,9812005
1719313200,9769734,9818659,9755095,9788223
1719316800,9761017,9793241,9735385,9769734
1719320400,9781198,9825305,9753332,9761017
1719324000,9876999,9931485,9776913,9781198
1719327600,9884146,9906065,9811500,9876999
1719331200,9819303,9900000,9817022,9884146
1719334800,9820000,9876096,9807913,9819303
1719338400,9939608,9946753,9777778,9820000
1719342000,9939608,9939608,9939608,9939608
1719345600,9902591,9939608,9894637,9939608
1719349200,9900000,9917921,9882695,9902591
1719352800,9902500,9941537,9892540,9900000
1719356400,9885732,9907834,9851932,9902500
1719360000,9882936,9893089,9862466,9885732
1719363600,9936043,9948000,9879438,9882936
1719367200,9932378,9999773,9922668,9936043
1719370800,9922579,9941956,9903786,9932378
1719374400,9884288,9930194,9881077,9922579
1719378000,9863365,9901843,9860605,9884288
1719381600,9857244,9876087,9836961,9863365
1719385200,9887458,9899054,9837016,9857244
1719388800,9853814,9888888,9834557,9887458
1719392400,9839385,9863594,9830200,9853814
1719396000,9834158,9844147,9805988,9839385
1719399600,9865564,9878809,9834158,9834158
1719403200,9868157,9885602,9850152,9865564
1719406800,9925454,9933333,9851225,9868157
1719410400,9933989,9959908,9900000,9925454
1719414000,9894829,9935972,9853900,9933989
1719417600,9863809,9909014,9850000,9894829
1719421200,9848867,9866196,9792170,9863809
1719424800,9804633,9850000,9800242,9848867
1719428400,9826037,9846267,9780000,9804633
1719432000,9825305,9845146,9781276,9826037
1719435600,9837616,9838867,9815199,9825305
1719439200,9805231,9837616,9779296,9837616
1719442800,9788820,9809595,9778823,9805231
1719446400,9812618,9818507,9766580,9788820
1719450000,9822031,9831876,9796492,9812618
1719453600,9812950,9822031,9780288,9822031
1719457200,9804437,9842022,9798983,9812950
1719460800,9816382,9824828,9801595,9804437
1719464400,9770111,9824521,9770000,9816382
1719468000,9759202,9776613,9739512,9770111
1719471600,9770998,9784671,9750685,9759202
1719475200,9780508,9783594,9760000,9770998
1719478800,9841850,9850000,9771472,9780508
1719482400,9815800,9862291,9815791,9841850
1719486000,9832083,9849461,9812564,9815800
1719489600,9844803,9898999,9818539,9832083
1719493200,9955555,9955555,9839971,9844803
1719496800,9919814,10021466,9909473,9955555
1719500400,9902279,9941854,9895108,9919814
1719504000,9923611,9945682,9897941,9902279
1719507600,9949974,9973835,9919773,9923611
1719511200,9946584,9963589,9934221,9949974
1719514800,9890089,9946584,9885000,9946584
1719518400,9896849,9909014,9874025,9890089
1719522000,9897059,9903269,9882643,9896849
1719525600,9904129,9915537,9890291,9897059
1719529200,9919140,9921624,9900689,9904129
1719532800,9927763,9929417,9893000,9919140
1719536400,10003121,10046476,9909650,9927763
1719540000,9949397,10013047,9922222,10003121
1719543600,9971033,9979999,9937178,9949397
1719547200,9957697,9971033,9928043,9971033
1719550800,9932491,9957824,9908421,9957697
1719554400,9929221,9942415,9918512,9932491
1719558000,9885974,9936159,9865607,9929221
1719561600,9903844,9904112,9860354,9885974
1719565200,9908574,9912519,9878880,9903844
1719568800,9889291,9910223,9885787,9908574
1719572400,9918842,9939134,9875300,9889291
1719576000,9867174,9947772,9854525,9918842
1719579600,9844949,9919568,9831114,9867174
1719583200,9806689,9885000,9775000,9844949
1719586800,9833127,9846204,9783938,9806689
1719590400,9802309,9837648,9763276,9833127
1719594000,9787797,9826363,9771685,9802309
1719597600,9779365,9795448,9760014,9787797
1719601200,9680846,9779365,9671749,9779365
1719604800,9696246,9716404,9672021,9680846
1719608400,9715818,9722607,9678519,9696246
1719612000,9720104,9730693,9708233,9715818
1719615600,9732520,9737510,9715329,9720104
1719619200,9776036,9788158,9726707,9732520
1719622800,9811697,9820077,9774788,9776036
1719626400,9785385,9818298,9776246,9811697
1719630000,9784824,9794221,9777401,9785385
1719633600,9788250,9792248,9779561,9784824
1719637200,9784856,9791265,9780107,9788250
1719640800,9801849,9806316,9784856,9784856
1719644400,9832621,9850200,9801228,9801849
1719648000,9819172,9836740,9809433,9832621
1719651600,9822000,9824913,9808690,9819172
1719655200,9829026,9832412,9814384,9822000
1719658800,9842743,9862640,9818180,9829026
1719662400,9833009,9853282,9826815,9842743
1719666000,9840570,9849990,9824498,9833009
1719669600,9824798,9847999,9816179,9840570
1719673200,9834557,9839741,9814194,9824798
1719676800,9826113,9838797,9814194,9834557
1719680400,9831634,9833731,9817357,9826113
1719684000,9834302,9835677,9823317,9831634
1719687600,9835895,9835895,9817540,9834302
1719691200,9835453,9842952,9825521,9835895
1719694800,9834277,9841229,9820584,9835453
1719698400,9821222,9834277,9805240,9834277
1719702000,9823684,9833659,9817055,9821222
1719705600,9831000,9834999,9812894,9823684
1719709200,9822481,9832709,9815630,9831000
1719712800,9801551,9822997,9791004,9822481
1719716400,9798236,9804411,9777609,9801551
1719720000,9779326,9799738,9776374,9798236
1719723600,9787905,9791489,9770048,9779326
1719727200,9824035,9824035,9782953,9787905
1719730800,9891000,9938788,9821034,9824035
1719734400,9898782,9906667,9868742,9891000
1719738000,9902954,9929499,9892288,9898782
1719741600,9907000,9915425,9898315,9902954
1719745200,9914742,9921159,9905142,9907000
1719748800,9899395,9924291,9877653,9914742
1719752400,9930000,9934913,9892868,9899395
1719756000,9913424,9952625,9907324,9930000
1719759600,9937519,9944996,9913424,9913424
1719763200,9921964,9943096,9920858,9937519
1719766800,9937186,9955678,9921964,9921964
1719770400,9981852,9993628,9932566,9937186
1719774000,9986356,9993000,9960003,9981852
1719777600,9976179,10040000,9972452,9986356
1719781200,9962988,9980514,9949999,9976179
1719784800,10105130,10121675,9962910,9962988
1719788400,10102372,10129015,10098373,10105130
1719792000,10136816,10146119,10070372,10102372
1719795600,10236605,10250000,10130000,10136816
1719799200,10210254,10262977,10180899,10236605
1719802800,10221414,10225014,10202959,10210254
1719806400,10200789,10224037,10190477,10221414
1719810000,10222787,10227999,10193751,10200789
1719813600,10217383,10225994,10198970,10222787
1719817200,10207837,10224062,10200702,10217383
1719820800,10136865,10211212,10115382,10207837
1719824400,10137791,10147378,10115517,10136865
1719828000,10124732,10146893,10110227,10137791
1719831600,10093589,10128597,10082571,10124732
1719835200,10109862,10123808,10089494,10093589
1719838800,10116758,10187136,10090770,10150867
1719842400,10154596,10169239,10103932,10116758
1719846000,10172881,10190000,10153936,10154596
1719849600,10209771,10222787,10175589,10195779
1719853200,10192792,10206100,10185381,10194829
1719856800,10279966,10287135,10259393,10277000
1719860400,10251921,10273168,10251921,10273168
1719864000,10214305,10236614,10195000,10209475
1719867600,10195125,10214954,10175000,10214305
1719871200,10165704,10195268,10138106,10195125
1719874800,10168536,10177777,10151145,10165704
1719878400,10170544,10177777,10152577,10163457
1719882000,10172026,10176000,10159588,10170544
1719885600,10198138,10208548,10174626,10177503
1719889200,10198343,10199227,10189500,10194187
1719892800,10225082,10228082,10212523,10220716
1719896400,10204905,10206404,10194058,10203243
1719900000,10187675,10202983,10170513,10198390
1719903600,10141001,10174031,10141000,10171487
1719907200,10130934,10143067,10080581,10136952
1719910800,10135318,10143771,10114653,10129019
1719914400,10123989,10134991,10103007,10129964
1719918000,10132178,10141933,10125900,10141933
1719921600,10157101,10160807,10136950,10159000
1719925200,10164213,10170000,10156000,10161164
1719928800,10063398,10135533,10057911,10108860
1719932400,10014429,10022887,10009857,10014493
1719936000,9999035,10015896,9989521,10008879
1719939600,10004828,10020422,10002105,10007453
1719943200,10070851,10070851,10036123,10039991
1719946800,10033236,10069000,10033236,10069000
1719950400,10016683,10017281,9990000,9999247
1719954000,10010845,10026081,9993051,10012666
1719957600,10018204,10021038,10007444,10008136
1719961200,10040945,10040945,10023568,10025097
1719964800,10032331,10064888,10032201,10037324
1719968400,10020991,10035799,9993300,10032331
1719972000,9957466,9970093,9944012,9970093
1719975600,9845452,9924924,9805700,9920993
1719979200,9847778,9866930,9825120,9865693
1719982800,9867181,9874997,9837630,9847234
